File Name,Video Time,Actual Time,Offset Time
16shiv-2019-06-05_13.35.27.csv,"(00, 10, 39)",13:46:37,"(13, 35, 58)"
17ank-2019-06-05_14.43.17.csv,"(00, 20, 35)",15:03:41,"(14, 43, 06)"
18kom-2019-06-06_11.03.13.csv,"(00, 01, 20)",11:04:16,"(11, 02, 56)"
19tri-2019-06-06_12.23.44.csv,"(00, 00, 29)",12:24:57,"(12, 24, 28)"
20shy-2019-06-06_16.04.41.csv,"(00, 07, 22)",16:12:10,"(16, 04, 48)"
21tar-2019-06-06_15.10.12.csv,"(00, 03, 58)",15:14:01,"(15, 10, 03)"
22ayu-2019-06-07_11.16.54.csv,"(00, 00, 13)",16:46:46,"(16, 46, 33)"
23nih-2019-06-07_12.18.32.csv,"(00, 10, 26)",12:28:58,"(12, 18, 32)"
24pra-2019-06-07_14.27.52.csv,"(00, 00, 29)",14:28:10,"(14, 27, 41)"
25lik-2019-06-07_15.49.58.csv,"(00, 11, 56)",16:01:41,"(15, 49, 45)"
26rac-2019-06-08_10.04.41.csv,"(00, 02, 17)",9:49:13,"(09, 46, 56)"
27kar-2019-06-08_10.48.19.csv,"(00, 01, 26)",10:49:11,"(10, 47, 45)"
28pra-2019-06-08_11.57.10.csv,"(00, 00, 40)",11:57:30,"(11, 56, 50)"
29shu-2019-06-08_13.08.17.csv,"(00, 07, 21)",13:15:50,"(13, 08, 29)"
30kar-2019-06-08_15.00.29.csv,"(00, 00, 41)",15:00:44,"(15, 00, 03)"
