start,end
"(0, 8, 20)","(0, 8, 42)"
"(0, 9, 25)","(0, 10, 2)"
"(0, 10, 27)","(0, 10, 44)"
"(0, 11, 12)","(0, 11, 28)"
"(0, 12, 0)","(0, 12, 27)"
"(0, 13, 19)","(0, 13, 33)"
"(0, 13, 54)","(0, 14, 3)"
"(0, 14, 26)","(0, 14, 53)"
"(0, 21, 9)","(0, 21, 14)"
"(0, 21, 31)","(0, 21, 37)"
"(0, 22, 19)","(0, 22, 28)"
"(0, 23, 27)","(0, 23, 34)"
"(0, 24, 53)","(0, 24, 59)"
"(0, 27, 14)","(0, 27, 20)"
"(0, 29, 44)","(0, 30, 18)"
"(0, 30, 43)","(0, 31, 25)"
"(0, 31, 27)","(0, 31, 35)"
"(0, 32, 27)","(0, 32, 43)"
"(0, 33, 26)","(0, 34, 22)"
"(0, 35, 31)","(0, 35, 51)"
"(0, 36, 6)","(0, 36, 26)"
"(0, 36, 47)","(0, 37, 2)"
"(0, 37, 29)","(0, 37, 35)"
"(0, 39, 37)","(0, 41, 0)"
"(0, 41, 36)","(0, 45, 31)"
"(0, 45, 44)","(0, 49, 3)"
"(0, 49, 24)","(0, 53, 24)"
"(0, 7, 20)","(0, 7, 21)"
